Feed Ca,Feed Na,Feed K,Feed NH4,Feed Mg,Feed SO4,Feed PO4,Feed Cl,Temperature,Pressure,MWCO,pH,Ca,Na,K,NH4,Mg,SO4,PO4,Cl
49.96320951,133.309818,33.55351154,35.27163474,29.02779804,227.1359841,6.834312587,67.45975463,35.20937734,27.7530283,400,6.73121393,0.763845107,0.659709811,0.243479837,0.088033725,0.553308075,0.05,0.580980342,0.724333216
96.05714451,293.8554263,32.22809192,40.85066287,40.46618414,263.0460467,2.551477259,134.0476377,34.05490515,17.65937253,400,3.965291752,0.72554958,0.56024902,0.05,0.050563777,0.57660641,0.05,0.526607506,0.568569191
78.55951534,442.8256261,91.56291225,16.27105545,38.24788556,434.5463269,8.85155107,424.0606123,13.35139695,22.84766707,300,7.13870034,0.643491986,0.05,0.05,0.05,0.303590377,0.491268554,0.418118226,0.638689922
67.89267874,379.5011989,32.45915799,33.11933448,8.54109533,203.0019737,6.518046152,395.0457604,42.29003417,15.33725575,600,5.203499366,0.624045685,0.204657322,0.411384914,0.05,0.435105634,0.318281442,0.30305107,0.674126598
32.48149124,412.9525165,34.47547535,30.72856924,8.313224017,441.3423582,2.414834952,207.7892112,29.89652708,20.38089902,500,3.366441368,0.711767046,0.219236061,0.146621114,0.100856402,0.38830563,0.05,0.582944026,0.685642799
32.47956163,346.452515,78.34584362,42.47736696,14.14054402,89.66049394,9.661042517,219.5647825,22.73039324,12.85497437,900,9.640593104,0.726584998,0.508393989,0.342100972,0.05,0.442659692,0.414254195,0.315786756,0.646053799
24.64668897,361.524454,50.47658582,45.77391772,18.69266159,399.5592967,5.66528917,290.0994951,36.47885042,11.83013451,100,7.490432583,0.694389961,0.05,0.05,0.05,0.641355292,0.05,0.404216913,0.705673712
89.29409166,432.1380432,79.90395013,5.547054716,21.01432349,431.3964349,1.656086067,50.10845211,19.00779104,19.03397444,700,9.138432523,0.685085792,0.05,0.273229631,0.05,0.412923906,0.730987364,0.242175847,0.885290154
68.08920094,162.350604,15.88295418,35.33089636,34.30516362,131.8179438,6.64149614,158.5599512,34.2728443,16.95137153,800,7.732392035,0.792046364,0.478997044,0.541353664,0.05,0.492154062,0.05,0.659947628,0.695726525
76.64580622,270.2412336,53.88140743,7.33261096,3.777341176,243.6559396,3.278790163,143.7043139,11.38989227,19.0679456,800,5.498885845,0.754079609,0.095662098,0.695381412,0.13728214,0.497136912,0.700485516,0.345054173,0.740202549
